pair,rho,p,n,lo,hi
A-B,0.2170094742510557,5.577376478938637e-15,1268,0.15675581112174425,0.2720609175769867
A-C,-0.04694689258989271,0.019360357844320344,2481,-0.08681062822618826,-0.0062120670457092115
B-C,0.04998618448957941,0.0769376540444508,1253,0.0005076352176967989,0.0986627001325631
