signal,ece,ece_lo,ece_hi,brier,brier_lo,brier_hi,reliability,resolution,uncertainty,n,base_rate
verbal,0.02827647929873094,0.019190334300614623,0.05756859792139671,0.21717288665261508,0.20852436001969837,0.22599903329120205,0.0007803235806876707,0.024917048398472214,0.24088046683328684,1199,0.40450375312760634
behavioral,0.02963329911965263,0.025006762979226414,0.048963686834405,0.16583313333957914,0.15756325867279222,0.17404717187559035,0.0010467179785400376,0.0787480498863051,0.2444325443786982,2600,0.42538461538461536
internal,0.04024722561872387,0.03298234285938417,0.06119547351167605,0.20655148891748665,0.19869662004828928,0.2143501403799848,0.002562740249192824,0.039564843401703804,0.2444325443786982,2600,0.42538461538461536
