signal,ece,ece_lo,ece_hi,brier,brier_lo,brier_hi,reliability,resolution,uncertainty,n,base_rate
verbal,0.024988256136774606,0.01945030317835288,0.052068717684524195,0.2226922949763727,0.21649358169076036,0.22827226372708098,0.0010329958317128393,0.02352414999797625,0.24530392434744516,1970,0.43147208121827413
behavioral,0.035953287176057336,0.03150990001707382,0.060729157233749886,0.16864894144675163,0.15906815630908733,0.17840918643628312,0.001697170011032322,0.07684677365194063,0.24437499999999998,2000,0.425
internal,0.048168157913568425,0.037951404518953825,0.0711197419270019,0.20522164225243134,0.19624611128042357,0.2143463451159542,0.0035976979515943627,0.042030422414236254,0.24437499999999998,2000,0.425
