model,tier,qid,split,verbal_raw,correct,behavioral_raw,n_clusters,n_valid,internal_raw,best_layer_pct,verbal_cal,behavioral_cal,internal_cal,family,params_b,canonical_format
qwen2.5-0.5b-instruct,R1,R1-6294647,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-441972,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6503240,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1398683,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5655121,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6159486,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1003583,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6298692,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6074793,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-619024,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1231270,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5534469,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-19472,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3188789,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1223425,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1927933,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-654047,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5769221,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4422347,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4549803,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3652320,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1703675,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-696121,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1533806,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5679365,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-263924,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2945999,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1867834,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5748842,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-808887,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5575512,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-557793,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4340665,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1695062,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-814310,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3492528,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6117457,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1709180,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1335873,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-471854,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1361418,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2865788,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4351838,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1348054,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4874251,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1683267,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4999192,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-290656,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-599002,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-179126,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-110614,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4851661,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2909773,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4864774,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3544134,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1587190,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1366262,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2490440,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6340564,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5895957,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-645704,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-282938,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3025476,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1157416,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4420706,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4686489,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6338836,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2348074,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1843439,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-152403,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4614719,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-564720,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4443970,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4123087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-562847,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-349903,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-258682,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6464294,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-42758,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5240449,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3914212,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6415970,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3522454,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1719999,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-160839,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6374500,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5050826,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-997056,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1363778,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1087089,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-569447,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1205536,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6043400,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2990694,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-805471,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5262087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1404597,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2985450,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3572494,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3354763,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1295145,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4245583,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6163381,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2775719,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-21770,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2297573,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2011217,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-960218,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1547771,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5360132,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-55477,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5965946,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5466734,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3890850,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5952436,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3241907,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4263382,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2335440,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3859284,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1180309,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5343324,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2891331,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3559809,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5277275,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5558408,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4263258,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2941209,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1155163,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5020702,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3197772,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4558401,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1424851,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4970217,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3268293,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-526034,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-468396,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1056000,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-193165,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3831198,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5223929,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6159701,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4776718,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5563761,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5724676,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4107069,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1626188,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1957390,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5264183,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5361519,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2977722,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2363117,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6213518,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4735035,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3290608,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5713370,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-500004,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1178924,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1410219,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4975631,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1758574,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3550407,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3875467,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1597302,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1509856,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4861552,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2002522,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4955279,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3392374,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3199632,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2759830,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3174709,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4323900,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5342172,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2823825,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1127226,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6113334,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4817052,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4783606,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-655232,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2693461,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5047590,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5802763,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-661853,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5443590,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1715386,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1093104,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3968607,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2865292,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6094861,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3741545,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5705598,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4008359,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2029081,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-609565,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5624764,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6370984,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-719085,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5959087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5559137,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3200726,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3558,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3514,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-54,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-914,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-316,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1135,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2689,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1039,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2383,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-322,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1121,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-886,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-958,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3587,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2961,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3736,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-611,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-116,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4195,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3782,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2886,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3516,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-985,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1484,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-156,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-647,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-559,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-69,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4169,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3877,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2125,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1584,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-293,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4095,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3237,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-483,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3108,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2713,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3261,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-581,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-962,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3857,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1626,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2682,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2142,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1476,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1496,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3442,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2309,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3408,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-13,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-110,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4185,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3669,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-734,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3656,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1508,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3176,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-367,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4276,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1780,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-634,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3579,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-745,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2901,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-4123,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1105,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-535,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3153,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1954,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3511,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3608,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-988,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1863,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2511,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1612,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2072,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-2390,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-1409,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R3,R3-3390,train,,0,,,,,,,,,retrieval,0.49,B
