model,tier,qid,split,verbal_raw,correct,behavioral_raw,n_clusters,n_valid,internal_raw,best_layer_pct,verbal_cal,behavioral_cal,internal_cal,family,params_b,canonical_format
qwen2.5-1.5b-instruct,C1,C1-1197,train,,1,0.3445412464587143,3.0,5.0,0.8206069469451904,25.0,,0.34375,0.5555555555555556,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-483,train,0.5,1,0.5915686280099798,4.0,10.0,0.29345694184303284,25.0,0.49339821294041164,0.7027027027027027,0.375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-766,train,0.5,1,0.4926213785839082,4.0,10.0,0.5504007935523987,25.0,0.49339821294041164,0.625,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1139,train,0.5,0,0.0,9.0,9.0,0.14598506689071655,25.0,0.49339821294041164,0.0588235294117655,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-921,train,0.5,1,1.0,1.0,10.0,0.728875458240509,25.0,0.49339821294041164,0.8888888888888888,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-185,train,0.5,0,0.7826779887263511,2.0,10.0,0.14390826225280762,25.0,0.49339821294041164,0.8823529411764706,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-663,train,0.5,0,0.24082399653118503,7.0,10.0,0.2438744157552719,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1014,train,0.5,0,0.28145364592347777,5.0,8.0,0.04485313221812248,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-657,train,0.5,0,0.07010330595238412,8.0,9.0,0.0015189651167020202,25.0,0.49339821294041164,0.16666666666666666,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-158,train,0.5,1,0.4668907502301862,5.0,10.0,0.9782484769821167,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-964,calibration,0.5,1,0.5915686280099798,4.0,10.0,0.002733536995947361,25.0,0.49339821294041164,0.7027027027027027,0.2857142857142857,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-776,train,0.5,1,1.0,1.0,10.0,0.9678003787994385,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-554,train,0.5,1,0.16666666666666674,7.0,9.0,0.07634452730417252,25.0,0.49339821294041164,0.25,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1164,train,0.5,0,0.651774627142776,3.0,10.0,0.40643197298049927,25.0,0.49339821294041164,0.7027027027027027,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1276,train,0.5,1,0.7826779887263511,2.0,10.0,0.8510215282440186,25.0,0.49339821294041164,0.8823529411764706,0.5555555555555556,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-562,train,0.5,1,0.3494850021680095,6.0,10.0,0.5489246845245361,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-813,calibration,0.5,0,0.5270967493629826,4.0,10.0,0.9361081123352051,25.0,0.49339821294041164,0.6250000000000006,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-560,calibration,0.5,1,0.5436432511904858,4.0,9.0,0.06861180812120438,25.0,0.49339821294041164,0.6666666666666666,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1234,train,0.5,1,0.8588182584953924,2.0,10.0,0.8825598955154419,25.0,0.49339821294041164,0.8823529411764706,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-872,train,0.5,1,0.5270967493629826,4.0,10.0,0.9578207731246948,25.0,0.49339821294041164,0.6250000000000006,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-588,calibration,0.5,1,0.1806179973983888,7.0,10.0,0.9759737849235535,25.0,0.49339821294041164,0.25,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-325,test,0.5,1,-4.440892098500626e-16,7.0,7.0,8.548421419618535e-07,25.0,0.49339821294041164,0.058823529411764705,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-865,train,0.5,0,0.7826779887263511,2.0,10.0,0.9612106084823608,25.0,0.49339821294041164,0.8823529411764706,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-812,train,0.5,0,0.14020661190476846,7.0,9.0,0.014737404882907867,25.0,0.49339821294041164,0.25,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-623,test,0.5,1,0.651774627142776,3.0,10.0,0.9836724400520325,25.0,0.49339821294041164,0.7027027027027027,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1053,calibration,0.5,1,0.3505165297619208,5.0,9.0,0.1896754801273346,25.0,0.49339821294041164,0.375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-389,train,0.5,0,0.20334237554869505,7.0,10.0,0.1840001493692398,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1003,train,0.5,0,0.0,9.0,9.0,0.001801097416318953,25.0,0.49339821294041164,0.0588235294117655,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1170,train,0.5,0,0.38396037294708374,5.0,10.0,0.9851846694946289,25.0,0.49339821294041164,0.375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-301,train,0.5,0,0.24196072888010545,5.0,7.0,0.006418890785425901,25.0,0.49339821294041164,0.34375,0.2857142857142857,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-791,train,0.5,1,0.4096910013008057,5.0,10.0,0.9868179559707642,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-733,train,0.5,1,0.24082399653118514,7.0,10.0,0.7352222800254822,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-683,train,0.5,0,0.12041199826559246,8.0,10.0,0.8890855312347412,25.0,0.49339821294041164,0.2,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-153,calibration,,0,-2.220446049250313e-16,5.0,5.0,8.996232645586133e-05,25.0,,0.0588235294117651,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-944,calibration,0.5,0,0.4668907502301862,5.0,10.0,0.045318569988012314,25.0,0.49339821294041164,0.625,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-664,calibration,0.5,1,0.4668907502301862,5.0,10.0,0.6118147373199463,25.0,0.49339821294041164,0.625,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-998,calibration,0.5,0,0.651774627142776,3.0,10.0,0.2788456976413727,25.0,0.49339821294041164,0.7027027027027027,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-754,train,0.5,0,0.0,6.0,6.0,0.3652486503124237,25.0,0.49339821294041164,0.0588235294117655,0.375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-139,calibration,0.5,1,0.38396037294708374,5.0,10.0,0.9998751878738403,25.0,0.49339821294041164,0.375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-470,train,0.5,1,1.0,1.0,10.0,0.9954338669776917,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-618,train,0.5,1,0.5915686280099798,4.0,10.0,0.9396043419837952,25.0,0.49339821294041164,0.7027027027027027,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1251,train,0.5,0,0.06020599913279623,9.0,10.0,0.16570550203323364,25.0,0.49339821294041164,0.16666666666666666,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-783,train,0.5,0,0.0,9.0,9.0,0.06288796663284302,25.0,0.49339821294041164,0.0588235294117655,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-490,train,0.5,1,1.0,1.0,10.0,0.9969733953475952,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-308,test,0.5,0,0.1981203125901444,6.0,8.0,0.9897472858428955,25.0,0.49339821294041164,0.25,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-167,train,0.5,0,0.3437342109109689,4.0,7.0,0.7813162207603455,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1134,calibration,0.5,0,0.722471989593555,3.0,10.0,0.005662533454596996,25.0,0.49339821294041164,0.7027027027027027,0.2857142857142857,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-928,train,0.5,0,0.14020661190476824,7.0,9.0,0.7919262051582336,25.0,0.49339821294041164,0.25,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1205,test,0.5,0,0.12041199826559246,8.0,10.0,0.9956051707267761,25.0,0.49339821294041164,0.2,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1145,train,0.5,0,0.12895093574484706,5.0,6.0,0.11992471665143967,25.0,0.49339821294041164,0.25,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1105,calibration,0.5,0,0.14020661190476824,7.0,9.0,0.011607588268816471,25.0,0.49339821294041164,0.25,0.2857142857142857,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-881,calibration,0.5,1,0.4770403950406973,4.0,9.0,0.8646791577339172,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-687,train,0.5,0,0.12895093574484706,5.0,6.0,0.09393310546875,25.0,0.49339821294041164,0.25,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-755,test,0.5,1,0.722471989593555,3.0,10.0,0.986644446849823,25.0,0.49339821294041164,0.7027027027027027,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-256,calibration,0.5,0,0.40693708908831316,5.0,9.0,0.1220025047659874,25.0,0.49339821294041164,0.375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-731,calibration,0.5,0,0.26354837468149117,6.0,10.0,0.9992122650146484,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-7,calibration,0.5,0,0.08333333333333326,7.0,8.0,0.026197535917162895,25.0,0.49339821294041164,0.16666666666666666,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-72,calibration,0.5,1,0.4668907502301862,5.0,10.0,0.9177951216697693,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1161,calibration,0.5,0,0.07010330595238412,8.0,9.0,0.9924784898757935,25.0,0.49339821294041164,0.16666666666666666,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1191,test,0.5,0,0.24082399653118503,7.0,10.0,0.017962710931897163,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-97,train,0.5,1,0.14313637641589882,8.0,10.0,0.9267674684524536,25.0,0.49339821294041164,0.25,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-37,train,0.5,0,0.0,4.0,4.0,1.0896669908331728e-16,25.0,0.49339821294041164,0.0588235294117655,0.0,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-901,calibration,0.5,0,0.1806179973983888,7.0,10.0,0.4984516203403473,25.0,0.49339821294041164,0.25,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-621,train,0.5,1,0.3494850021680095,6.0,10.0,0.9044743776321411,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-639,train,0.5,0,0.20334237554869516,7.0,10.0,0.054069433361291885,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-9,train,0.5,0,0.24082399653118514,7.0,10.0,0.13790714740753174,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-591,test,0.5,1,0.4926213785839082,4.0,10.0,0.27456921339035034,25.0,0.49339821294041164,0.625,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-147,test,0.5,0,0.33333333333333326,5.0,8.0,0.9769406318664551,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-193,train,0.5,0,0.2635483746814913,6.0,10.0,0.8133642673492432,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-669,train,0.5,1,0.5915686280099798,4.0,10.0,0.038467928767204285,25.0,0.49339821294041164,0.7027027027027027,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-186,train,0.5,1,0.14020661190476846,7.0,9.0,0.0008202946628443897,25.0,0.49339821294041164,0.25,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-248,train,0.5,1,0.7826779887263511,2.0,10.0,0.6446232795715332,25.0,0.49339821294041164,0.8823529411764706,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-104,test,0.5,1,0.4470798904762032,4.0,9.0,0.9925230145454407,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-108,train,0.5,1,0.46989700043360183,4.0,10.0,0.9958261251449585,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1098,train,0.5,1,0.5915686280099798,4.0,10.0,0.9265153408050537,25.0,0.49339821294041164,0.7027027027027027,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1100,calibration,0.5,1,0.7347050044258785,2.0,10.0,0.8151442408561707,25.0,0.49339821294041164,0.7027027027027027,0.5555555555555556,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1307,test,0.5,1,1.0,1.0,10.0,0.8929915428161621,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-803,test,0.5,0,0.4668907502301862,5.0,10.0,0.23736697435379028,25.0,0.49339821294041164,0.625,0.33962264150943394,reasoning,1.54,B
