pair,rho,p,n,lo,hi
A-B,0.1067701695112246,0.0008774522983455655,968,0.026232933372406113,0.18606053292144784
A-C,-0.03988724776569297,0.046971324437608514,2481,-0.07953406082166593,0.00013088090822784205
B-C,0.16822860973161696,1.75296449951727e-07,953,0.11158290037316196,0.2249839618996329
