signal,ece,ece_lo,ece_hi,brier,brier_lo,brier_hi,reliability,resolution,uncertainty,n,base_rate
verbal,0.015457737623097365,0.014435708215431654,0.038652509546013444,0.22229202466496392,0.2170296870967674,0.22789430387310552,0.0005039552625032571,0.023229739525196132,0.24519548043982492,2568,0.43068535825545173
behavioral,0.02963329911965263,0.025006762979226414,0.048963686834405,0.16583313333957914,0.15756325867279222,0.17404717187559035,0.0010467179785400376,0.0787480498863051,0.2444325443786982,2600,0.42538461538461536
internal,0.04024722561872387,0.03298234285938417,0.06119547351167605,0.20655148891748665,0.19869662004828928,0.2143501403799848,0.002562740249192824,0.039564843401703804,0.2444325443786982,2600,0.42538461538461536
