hypothesis,gate,passed,verdict
H0,Gate 2,False,H0 falsified — report all three formats separately (PLAN §16 Gate 2 fallback)
H1,—,True,H1 supported — internal is worse-calibrated than verbal beyond noise
H2,Gate 1,True,H2 supported — quadrant membership associates with question features beyond the shuffle null
H3,Gate 4,False,H3 falsified / null — delta CI includes 0 or the missed-knowledge guard fired
H4,Gate 3,False,"H4 falsified / null — onset curves overlap, or reasoning never reaches the gate"
